pattern:[[20130090]], support:2
pattern:[[14092017]], support:2
pattern:[[10109021]], support:2
pattern:[[10103003]], support:2
pattern:[[11302007]], support:2
pattern:[[22120044]], support:2
pattern:[[15402019]], support:2
pattern:[[10000007]], support:2
pattern:[[10000007], [24101000]], support:2
pattern:[[14723012]], support:2
pattern:[[22602000]], support:2
pattern:[[11304005]], support:2
pattern:[[11500080]], support:2
pattern:[[11300191]], support:2
pattern:[[23133017]], support:2
pattern:[[15402005]], support:2
pattern:[[22830000]], support:2
pattern:[[14844017]], support:2
pattern:[[14906007]], support:2
pattern:[[11220016]], support:2
pattern:[[30161040]], support:2
pattern:[[10112005]], support:2
pattern:[[14054001]], support:2
pattern:[[14054002]], support:2
pattern:[[14101045]], support:2
pattern:[[14723009]], support:2
pattern:[[14831020]], support:2
pattern:[[14911003]], support:2
pattern:[[22040007]], support:2
pattern:[[27002166]], support:2
pattern:[[27002045]], support:2
pattern:[[10116031]], support:2
pattern:[[11221039]], support:2
pattern:[[15115012]], support:2
pattern:[[11220040]], support:2
pattern:[[14013028]], support:2
pattern:[[10201000]], support:2
pattern:[[10200021]], support:2
pattern:[[14900023]], support:2
pattern:[[22621000]], support:2
pattern:[[11522006]], support:2
pattern:[[24100003]], support:2
pattern:[[22603001]], support:2
pattern:[[14060010]], support:2
pattern:[[15202030]], support:2
pattern:[[20121056]], support:2
pattern:[[14844043]], support:2
pattern:[[15110060]], support:2
pattern:[[14033048]], support:2
pattern:[[10116021]], support:2
pattern:[[15121002]], support:2
pattern:[[10113000]], support:2
pattern:[[14132179]], support:2
pattern:[[15243000]], support:2
pattern:[[14812003]], support:2
pattern:[[10435004]], support:2
pattern:[[14932008]], support:2
pattern:[[31003026]], support:2
pattern:[[22710009]], support:2
pattern:[[15421002]], support:2
pattern:[[15120004]], support:2
pattern:[[15202045]], support:2
pattern:[[14644000]], support:2
pattern:[[14916004]], support:2
pattern:[[14015048]], support:2
pattern:[[14082028]], support:2
pattern:[[14820003]], support:2
pattern:[[10201015]], support:2
pattern:[[30514005]], support:2
pattern:[[11240007]], support:2
pattern:[[32917001]], support:2
pattern:[[15321002]], support:2
pattern:[[10152011]], support:2
pattern:[[14722069]], support:2
pattern:[[14722075]], support:2
pattern:[[40000678]], support:2
pattern:[[27300283]], support:2
pattern:[[14000003]], support:2
pattern:[[14342006]], support:2
pattern:[[22710000]], support:2
pattern:[[10119044]], support:2
pattern:[[10501079]], support:2
pattern:[[14401030]], support:2
